Text,Label
@China_Amb_India Fucking piece of shit your whole community is solely responsible for the Chinese virus. Chinese dipshits should apologise to the world for their existence on this planet.,Hate
I’m not being funny but #Coronavirus in....   China  Iran  Italy   That’s some pretty random shit.,Neutral
Got on the Victoria Line today to seven sisters and some chinese cunt coughed on me. Decked the cunt in his throat but now im worried that i’m gonna get the bat virus ffs,Hate
"It's appalling that the media &amp; libtards bitch about the virus being referred to as the ""Chinese Virus"" but no one seems to give a shit about the poor lives of the dogs &amp; cats that are being eaten alive &amp; tortured for food. Why isn't PETA raising hell about this?  Just EVIL.",Hate
Dude fuck the Chinese man fuck em and if you think what I’m saying is wrong or rude you’re the problem,Hate
"Dear @Twitter Could you please kindly TURN ON your Moderation so we the ppl stop seeing the ""Korean / Vietnamese Bitching"" going on under  #COVID19 ? Thank you. Some of us r interested in the #Coronavirus information not in Asian bitching... Thank you in advance...",Neutral
@realDonaldTrump so much for it being the Chinese virus..yo ass sponsored the fucking country’s quarantine https://t.co/oxTRUbhJ6m,Neutral
@ToolFree2point0 @koreanjewcrypto ☝️☝️☝️☝️Just like the media blowing up the terms “Chinese Virus” and “Wuhan Virus” and then callin Trump racist as soon as he starts saying it.  They are hypocritical pieces of shit.,Non-Asian Aggression
@BarrazaSdfjbjr @UofAlec You cant blame donald Trump for a virus spreading across every country on the planet. He was being impeached in america when the outbreak was in Wuhan China. Blame the people who worked in the labs or ate a bat in Wuhan. Those dumb fucks are responsible way more than trump. 😂,Hate
Fuck you China and your Chinese virus 😡 Rest in peace Pickup man 🙏🙏,Hate
"China has expelled three WSJ journalists for writing a ""racist"" opinion piece, i.e. telling the truth about experiences of Coronavirus in China for a Western audience  Do you want your journalists to be ""racists""?",Neutral
Fuck the Communist Party of China.  😡 😡 😡  #ChinaLiedPeopleDied 👹    https://t.co/MoaZ3OHmLJ,Hate
@getongab zoom=chink trash,Neutral
"@realDonaldTrump Asian Americans will encounter more discrimination and violence, because of you calling the coronavirus, the ""Chinese Virus"". The blacks are beating the Asian people up in Philadelphia. Please stop the racist violence. #RacismIsAVirus",Counterhate
@Fight4_Freedumb @Whyaduck @ClueHeywood @realDonaldTrump Nopity Nope. Calling it the Chinese Virus is racist. Closing flights from 1 country is ineffective. Can I ask you a serious question?,Counterhate
Let's trend  #ChineseVirus till these losers stop eating the shit they eat. #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus,Hate
@ChineseTigress @ashoswai Hello female Chinese virus Go eat pig shit,Hate
"@Honda The US people has been killed enormously with Chinese killing virus!We are in a hurry to increase Ekmo production,especially with respiratory failure!Seems to be deceive with Interleukin administration by Cytokinestorm!Administer Avigan early! https://t.co/QPMHYqZ41S",Neutral
@nytimes Well that’s not true. It was for non-Chinese Virus treatment. Lying asshole trouble making twats.,Non-Asian Aggression
"This heartless spineless monster wants this virus to spread in hoping it will wipe out POC, LGBTQ, Muslims, Asian and women who can't stand his mushroom dick ass.",Non-Asian Aggression
@JackyLe23850225 @chinaorgcn We are all fuck because of the #ChineseVirus we should hold China accountable and all countries should impose sanctions until they become transparent 😡😠🤬 thousands of deaths and economic catastrophe because of China's lack of transparency about the #ChineseVirus,Hate
@AOC #ChinaLiedPeopleDied  quit blaming the President and republicans. How about you STFU. You have no clue.,Hate
"As of last week, @MarvelStudios’ #BlackWidow’s now 2020’s only film 2 have it’s trailer pass 40 million views on @YouTube, meaning it passed d threshold needed 2 have a shot @ being 2020’s lone billion dollar worldwide hit, even if China can’t help it due 2 the CoronaVirus Crisis https://t.co/ABT3naCLqf",Neutral
"@marvenwhidden @ErinOTooleMP you mean the ""experts"" who have been wrong since this started. I will not listen to @CPHO_Canada. She lies. Constantly. She's about as sharp as skippy.  And I don't like being called a racist. Especially by a racist. #kungflu #WuhanVirus",Neutral
"@IngrahamAngle Exactly, like the Zika river, the ebola river and the west nile river. Get over it bitch, #ChinaVirus #WuhanVirus no one will stop using this terminology. Also black people are super predators. You should of spoke up on that first. You command no one. Sit down and take a nap.",Non-Asian Aggression
USA SPREAD THE COVID 19 (ISRAELI) VIRUS IN CHINA AND LOOK RACIST ARE BULLING CHINA AND THREATENING TO KILL CHINESE,Non-Asian Aggression
"Let there be no mistake, China is not responsible for #ChinaVirus. We are, everyone of us suffering in any part of the world. If we take this shit lying down, we deserve this.  Watch them make money as the nations bleed .... wake up.",Counterhate
March 13th: 10% raise April 3rd: company announces 20% salary cut across the board until #WuhanVirus era is over...  Fuck you 2020.,Neutral
I'm losing my mind 😵 quarantine is making me mad. #Chinese douchebags ate shit infected everyone with this #ChineseVirus and now the whole world is suffering for them. Bloody shitbags! Bloody ban #china ban Chinese people!😤  #Coronavirus,Hate
"#Coronavirius ""#Trump  cut funding for #CDC -  ! Forcing the CDC to cancel its efforts to help countries prevent infectious-disease threats from becoming #epidemics in 39 of 49 countries in 2018. AMONG THE COUNTRIES  ABANDONED? -- CHINA.""",Neutral
@lukedepulford @WHO @hkdemonow @Stand_with_HK Taiwan alerted the WHO of the possibilities of human-to-human transmission of the Wuhan Virus in late December and the WHO just ignored it. This is a crime against humanity. The international community MUST take the WHO and Communist China to account !,Hate
"Two weeks ago, your entire party was criticizing his interest in shutting down the border to China saying it was racist and unnecessary.  Every single thing is turned as a politicized weapon.",Neutral
"@scotapathy @TheWayneOffendr @nickwirbel @ChrisDepo @DanCrenshawTX Trump absolutely is not the one that created the shit culture he’s just the one that’s made it more apparent. Also, calling it the Chinese virus is no different that any other virus named for it origin. I do not refer to it as such, but these pear clutching attempts to call it",Neutral
@RealHeidiSears The Chinese and thier masssssss population. Not their fault. They just like to fuck but between you and I who doesn't. From my understanding it came from food market in China were certain animals were Infected and spread it amongst each other to cause this Virus !!,Neutral
@PoliticusSarah Facts?! Hundreds of thousands dead?!? Make shit up much? #hack #ChineseVirus #ChinaLiedPeopleDied #MAGA2020,Hate
It's hilarious how Andrew Yang was smeared as a defacto white person because Asians are somehow basically white people. Pretty sad to see other minority groups say that about another minority group who faces racism daily.,Neutral
Look at These Chinese Bastards America🖕🖕 LET'S KEEP THESE CHINK BASTARDS OUT OF AMERICA!! #ChinkVirus #ChineseVirus  #ChineseVirusCorona  #ChinaLiedPeopleDied,Hate
"@HuXijin_GT Oi.... this fucking Wuhan coronavirus originated from Wuhan, China. Stop preaching. Just stfu!!!!",Non-Asian Aggression
"THIS IS SO F*** RACIST! WTF I’m so pissed! Republicans calling it “Chinese Coronavirus” is scientifically inaccurate, wrong, and extremely dangerous! There’s already cases around the country Asian people getting stabbed and beat up for being “chinese coronavirus”. https://t.co/o4s1U86pse",Counterhate
@OKAMIDUAN @Chamanpandey5 @realDonaldTrump It took you so long to https://t.co/lxQ7UYfeWk Were you learning english Mr chinese virus?China is endangering lives and u have to admit it.fucking your mother is not the only option I got.That too will result me suffering from the Chinese virus.,Hate
@belkiswille @PrimeministerGR It’s ccp virus which killed those innocent all around world...it’s ccp’s dirty and inhumanity plan which is still killing more innocent people all around world...evil ccp must be punished for a better life of all chinese as well as the rest of world people... https://t.co/91WxQ8Wf0a,Hate
@_sabanaqvi The world is blaming China  and Wuhan As for india the first death in Karnataka is Mecca returnee . Most of our infection came from the west. And now the greatest spread is because of the stubborn muslim group inviting virus infected  from muslim country. Now  defying lock down,Non-Asian Aggression
"@realDonaldTrump Please stop calling it the Chinese virus.  It sounds very racist. It's very Italian, American, British, etc. now!!  Just stop!  I want to re-elect you, but every time you open your mouth, makes me question it.  America has always been great, show the world that it is classy too!",Neutral
"yall ever see someone ignore your questions and then just carry on like i didnt ask? that shit hits different. oh well, what do i know, im just a chink",Neutral
DHS has admitted allowing people coming here from EU have come from China First! All they have to look at dated stamp on Passport! If they were in China it will be stamp so! Lazy ass Mfers!,Non-Asian Aggression
"@RealTimBlack So Turn the other cheek Asians even if your POTUS is blaming your race for a virus you had no control over, i've had to see friends get treated like shit since Trump started calling Covid 19 the Chinese virus. Andrew is a Coward &amp; traitor , those who defend him are BLIND!",Non-Asian Aggression
"Travel restrictions put on China is protecting America from massive exposure to the Coronavirus. Fundamental approach to protecting Americans!!. Exact same protection required at our Border immediately. Stop human trafficking, disease, gangs and illegal migration. Protect America",Neutral
"Did you thank them for the virus too? Without the Chinese, you wouldn’t need more ventilators. Was there Shmoozy ass kissing?",Hate
"Is the name ""#WuhanVirus"" Racist or is #ChrisHayes?🤡#WuhanFlu #coronavirus  By the Left’s Standards, They are #racist ! CNN WaPo said Wuhan,so shut em down?👏🏻#LiberalismIsABrainEatingVirus  #COVID19 = China Overlooks Viral Infectious Disease! https://t.co/vQXRqKZ2Wg via @YouTube https://t.co/yg3lCmx37W",Hate
"It just take a fucking sneeze then you have china, korea, malaysia, indonesia ans the rest of asia to buy $btc like candy. Really. Just one messed up thing from their bank and the people will abandon them because of #coronavirus",Neutral
"@el_mago_jinete @tyrone_brother Stop eating vermin and exotic animals, you damned slant eyed COVID-19 spreader! Mind YOUR damned business, Ladyboy Ling Ling! 🐀🥡🥢",Hate
