Text,Label,Hate Probability,Counterhate Probability,Neutral Probability
@China_Amb_India Fucking piece of shit your whole community is solely responsible for the Chinese virus. Chinese dipshits should apologise to the world for their existence on this planet.,Hate,0.9619178734468933,0.054550028640214826,0.003138376183755295
I’m not being funny but #Coronavirus in....   China  Iran  Italy   That’s some pretty random shit.,Other,0.3125512281752306,0.032497784542622976,0.46948371794560145
Got on the Victoria Line today to seven sisters and some chinese cunt coughed on me. Decked the cunt in his throat but now im worried that i’m gonna get the bat virus ffs,Other,0.11747859272089119,0.07661914094643309,0.3398321471615177
"It's appalling that the media &amp; libtards bitch about the virus being referred to as the ""Chinese Virus"" but no one seems to give a shit about the poor lives of the dogs &amp; cats that are being eaten alive &amp; tortured for food. Why isn't PETA raising hell about this?  Just EVIL.",Hate,0.830835933521814,0.13259605539231362,0.004743409540914544
Dude fuck the Chinese man fuck em and if you think what I’m saying is wrong or rude you’re the problem,Other,0.3856818107868882,0.09699067279104721,0.06793389315611273
"Dear @Twitter Could you please kindly TURN ON your Moderation so we the ppl stop seeing the ""Korean / Vietnamese Bitching"" going on under  #COVID19 ? Thank you. Some of us r interested in the #Coronavirus information not in Asian bitching... Thank you in advance...",Neutral,0.0027562221536797014,0.12574600948481285,0.7390486847691284
@realDonaldTrump so much for it being the Chinese virus..yo ass sponsored the fucking country’s quarantine https://t.co/oxTRUbhJ6m,Hate,0.6934208245318209,0.1000904530771572,0.03311856417005218
@ToolFree2point0 @koreanjewcrypto ☝️☝️☝️☝️Just like the media blowing up the terms “Chinese Virus” and “Wuhan Virus” and then callin Trump racist as soon as he starts saying it.  They are hypocritical pieces of shit.,Other,0.14559430813034951,0.26904560915931475,0.03068419976949921
@BarrazaSdfjbjr @UofAlec You cant blame donald Trump for a virus spreading across every country on the planet. He was being impeached in america when the outbreak was in Wuhan China. Blame the people who worked in the labs or ate a bat in Wuhan. Those dumb fucks are responsible way more than trump. 😂,Hate,0.6108262520685752,0.021292805853486182,0.01635521571856398
Fuck you China and your Chinese virus 😡 Rest in peace Pickup man 🙏🙏,Hate,0.959899468006569,0.07512679216227103,0.0027841755667246094
"China has expelled three WSJ journalists for writing a ""racist"" opinion piece, i.e. telling the truth about experiences of Coronavirus in China for a Western audience  Do you want your journalists to be ""racists""?",Neutral,0.209275602352086,0.022274285059389307,0.5842116382082065
Fuck the Communist Party of China.  😡 😡 😡  #ChinaLiedPeopleDied 👹    https://t.co/MoaZ3OHmLJ,Hate,0.987024112761265,0.0005043633205213208,0.09778983083584399
@getongab zoom=chink trash,Neutral,0.0929738154451677,0.027501706180541836,0.7947540789396572
"@realDonaldTrump Asian Americans will encounter more discrimination and violence, because of you calling the coronavirus, the ""Chinese Virus"". The blacks are beating the Asian people up in Philadelphia. Please stop the racist violence. #RacismIsAVirus",Counterhate,0.026723467529806207,0.875475607621125,0.052458483443102874
@Fight4_Freedumb @Whyaduck @ClueHeywood @realDonaldTrump Nopity Nope. Calling it the Chinese Virus is racist. Closing flights from 1 country is ineffective. Can I ask you a serious question?,Counterhate,0.10438513589840223,0.5119727446020789,0.427033655823379
Let's trend  #ChineseVirus till these losers stop eating the shit they eat. #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus #ChineseVirus,Hate,0.941076153088343,0.0182333520115736,0.03101881560655651
@ChineseTigress @ashoswai Hello female Chinese virus Go eat pig shit,Hate,0.9070175988003748,0.015062016462374234,0.02357520069247101
"@Honda The US people has been killed enormously with Chinese killing virus!We are in a hurry to increase Ekmo production,especially with respiratory failure!Seems to be deceive with Interleukin administration by Cytokinestorm!Administer Avigan early! https://t.co/QPMHYqZ41S",Other,0.45320983834035355,0.03959897640800832,0.3789446587431717
@nytimes Well that’s not true. It was for non-Chinese Virus treatment. Lying asshole trouble making twats.,Other,0.08583760606526485,0.48640550165391505,0.05521670549176208
"This heartless spineless monster wants this virus to spread in hoping it will wipe out POC, LGBTQ, Muslims, Asian and women who can't stand his mushroom dick ass.",Other,0.049321873787496626,0.2922656503324,0.010131356883826473
@JackyLe23850225 @chinaorgcn We are all fuck because of the #ChineseVirus we should hold China accountable and all countries should impose sanctions until they become transparent 😡😠🤬 thousands of deaths and economic catastrophe because of China's lack of transparency about the #ChineseVirus,Hate,0.9799239773689558,0.06569785041417234,0.006838110461827044
@AOC #ChinaLiedPeopleDied  quit blaming the President and republicans. How about you STFU. You have no clue.,Hate,0.7182094996797925,0.011526817035323196,0.03173944478342638
"As of last week, @MarvelStudios’ #BlackWidow’s now 2020’s only film 2 have it’s trailer pass 40 million views on @YouTube, meaning it passed d threshold needed 2 have a shot @ being 2020’s lone billion dollar worldwide hit, even if China can’t help it due 2 the CoronaVirus Crisis https://t.co/ABT3naCLqf",Neutral,0.012979982843113157,0.016477127846338927,0.9876326983113098
"@marvenwhidden @ErinOTooleMP you mean the ""experts"" who have been wrong since this started. I will not listen to @CPHO_Canada. She lies. Constantly. She's about as sharp as skippy.  And I don't like being called a racist. Especially by a racist. #kungflu #WuhanVirus",Other,0.08706461133688972,0.05439280540466607,0.17697921058664037
"@IngrahamAngle Exactly, like the Zika river, the ebola river and the west nile river. Get over it bitch, #ChinaVirus #WuhanVirus no one will stop using this terminology. Also black people are super predators. You should of spoke up on that first. You command no one. Sit down and take a nap.",Other,0.2552568046894551,0.01764206141847639,0.07720649776388686
USA SPREAD THE COVID 19 (ISRAELI) VIRUS IN CHINA AND LOOK RACIST ARE BULLING CHINA AND THREATENING TO KILL CHINESE,Hate,0.5954844388251787,0.1242919766307419,0.014745298521238891
"Let there be no mistake, China is not responsible for #ChinaVirus. We are, everyone of us suffering in any part of the world. If we take this shit lying down, we deserve this.  Watch them make money as the nations bleed .... wake up.",Hate,0.5830358207417563,0.07841368923296119,0.02957428002065764
March 13th: 10% raise April 3rd: company announces 20% salary cut across the board until #WuhanVirus era is over...  Fuck you 2020.,Neutral,0.04422600793398183,0.007802514481118392,0.7330623444366869
I'm losing my mind 😵 quarantine is making me mad. #Chinese douchebags ate shit infected everyone with this #ChineseVirus and now the whole world is suffering for them. Bloody shitbags! Bloody ban #china ban Chinese people!😤  #Coronavirus,Hate,0.9735130490502274,0.027001828125019823,0.0015245833866737153
"#Coronavirius ""#Trump  cut funding for #CDC -  ! Forcing the CDC to cancel its efforts to help countries prevent infectious-disease threats from becoming #epidemics in 39 of 49 countries in 2018. AMONG THE COUNTRIES  ABANDONED? -- CHINA.""",Neutral,0.05032418047125789,0.056478303818543046,0.8040289054170121
@lukedepulford @WHO @hkdemonow @Stand_with_HK Taiwan alerted the WHO of the possibilities of human-to-human transmission of the Wuhan Virus in late December and the WHO just ignored it. This is a crime against humanity. The international community MUST take the WHO and Communist China to account !,Hate,0.6461262467925433,0.05396840704432951,0.05605365952235079
"Two weeks ago, your entire party was criticizing his interest in shutting down the border to China saying it was racist and unnecessary.  Every single thing is turned as a politicized weapon.",Other,0.06021887349760176,0.015974780567208434,0.45958088851611056
"@scotapathy @TheWayneOffendr @nickwirbel @ChrisDepo @DanCrenshawTX Trump absolutely is not the one that created the shit culture he’s just the one that’s made it more apparent. Also, calling it the Chinese virus is no different that any other virus named for it origin. I do not refer to it as such, but these pear clutching attempts to call it",Other,0.3396283739636939,0.44813232661183344,0.11903178944552166
@RealHeidiSears The Chinese and thier masssssss population. Not their fault. They just like to fuck but between you and I who doesn't. From my understanding it came from food market in China were certain animals were Infected and spread it amongst each other to cause this Virus !!,Hate,0.8558034066830386,0.2176687845180922,0.04298828647404044
@PoliticusSarah Facts?! Hundreds of thousands dead?!? Make shit up much? #hack #ChineseVirus #ChinaLiedPeopleDied #MAGA2020,Hate,0.836450255357577,0.01473799955726415,0.06874084923507115
It's hilarious how Andrew Yang was smeared as a defacto white person because Asians are somehow basically white people. Pretty sad to see other minority groups say that about another minority group who faces racism daily.,Counterhate,0.00454118509836201,0.6880416579618445,0.3949788072002828
Look at These Chinese Bastards America🖕🖕 LET'S KEEP THESE CHINK BASTARDS OUT OF AMERICA!! #ChinkVirus #ChineseVirus  #ChineseVirusCorona  #ChinaLiedPeopleDied,Hate,0.9946801856420654,0.0022229325223793346,0.007699754286110985
"@HuXijin_GT Oi.... this fucking Wuhan coronavirus originated from Wuhan, China. Stop preaching. Just stfu!!!!",Hate,0.5917172563475428,0.036009856595287305,0.09361798312448211
"THIS IS SO F*** RACIST! WTF I’m so pissed! Republicans calling it “Chinese Coronavirus” is scientifically inaccurate, wrong, and extremely dangerous! There’s already cases around the country Asian people getting stabbed and beat up for being “chinese coronavirus”. https://t.co/o4s1U86pse",Counterhate,0.32167849577109414,0.9156783848788269,0.0029789783521163415
@OKAMIDUAN @Chamanpandey5 @realDonaldTrump It took you so long to https://t.co/lxQ7UYfeWk Were you learning english Mr chinese virus?China is endangering lives and u have to admit it.fucking your mother is not the only option I got.That too will result me suffering from the Chinese virus.,Hate,0.9405519702588956,0.008893963797926376,0.11737178538116248
